Taxa,Taxonomy,Taxon
0d6427d0143e7117f0d10d2a9786854e,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Clavulina;s__Clavulina_sp;sh__SH0858022.10FU
c1fbd4f2a2251a4d670681e3f59487f7,Ascomycota,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Cryptosporiopsis;s__Cryptosporiopsis_sp;sh__SH0966828.10FU
4e1c53da93ee5bafa21a58547b48b1e0,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Phallales;f__Phallaceae;g__Phallus;s__Phallus_hadriani;sh__SH0982165.10FU
7fd81476bd6c8119473426223c3bf314,Ascomycota,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0886496.10FU
c6fe5819ed0ce2c030faf9dbc47ac9e5,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_gen_Incertae_sedis;s__Nectriaceae_sp;sh__SH0884715.10FU
e8d29dcfa3b4868a07e2261010a34b7f,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
59a8b9084da311e7eace8d8bcc10ed1b,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp
6af05b13fb35ec559e08ca2700cd75d8,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus
3e5455312c945328e16409ea33b831d8,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
c98f9aedc3777a8785c45a388fc193cc,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora
3cfb3d739bb0255f19dc8963e28af4fc,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricomycetes_ord_Incertae_sedis;f__Agaricomycetes_fam_Incertae_sedis;g__Agaricomycetes_gen_Incertae_sedis;s__Agaricomycetes_sp;sh__SH0944249.10FU
0f99a9ebd41e45d2a2b2f5e5c7fb5390,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp
350dd9f38460e8149cf2dea1d2e2d0d4,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp
6dd5e152a00fc176a318ece5deb3632c,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp
9ee883f3662860ec853087e0b3f2060f,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis;s__Sordariomycetes_sp
978063afb413d8ccd8be1867ecce8371,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_sp;sh__SH1026033.10FU
ede3b5ec53faa793936808db5a22f164,Others,k__Fungi
093b374037583c12a82aae343044661b,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_sardiniae;sh__SH1873090.10FU
5ee532f6f313217162b42efd1fa34b6c,Ascomycota,k__Fungi;p__Ascomycota
f36e2b98c0edf949152d0dfd1832fef0,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma
a5f58676a934274257e8de3f25bca724,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Phallales;f__Phallaceae;g__Mutinus;s__Mutinus_sp;sh__SH0753506.10FU
6115ba9149596ee84d8548a5a65adffb,Ascomycota,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiales_fam_Incertae_sedis;g__Venturiales_gen_Incertae_sedis;s__Venturiales_sp;sh__SH0839274.10FU
a31802c27d1ae672cba7000b4a6c2b6a,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_hortensis;sh__SH0817323.10FU
b727b91f4addc69ff24b16b1647e6d6e,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae
e48069e6ab05315b681392ba4c3b877b,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp;sh__SH0882280.10FU
05443491299decb03f13d203cbf66b6a,Ascomycota,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Alloconiothyrium;s__Alloconiothyrium_aptrootii;sh__SH0957392.10FU
590e78cf4235e1b4d0cd25271a19d82a,Ascomycota,k__Fungi;p__Ascomycota
de9ea391ceb083e0318dae452383092c,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp;sh__SH0956192.10FU
1e4ee2f91d029724d993cd9d8e4dd8e8,Mucoromycota,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis;o__Mucoromycotina_ord_Incertae_sedis;f__Mucoromycotina_fam_Incertae_sedis;g__Bifiguratus;s__Bifiguratus_sp;sh__SH1025066.10FU
e2c85a5841e4d71924b0b1d05b6c76fd,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp;sh__SH1000771.10FU
c929ef20182532efb5e5a14b9703a3c9,Ascomycota,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia;s__Venturia_sp;sh__SH0770127.10FU
8ba0a0607f7d20398a3c41478149c463,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Leucoagaricus;s__Leucoagaricus_sp;sh__SH0809487.10FU
d8e459ced690b4bb0b39f03d15d057bf,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Lasionectriopsis;s__Lasionectriopsis_spinosa;sh__SH0940829.10FU
0b16710fc341de52d3db3a987523142b,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
3fe2aa544cf17e1222cfa3869b28b232,Ascomycota,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturiaceae_gen_Incertae_sedis;s__Venturiaceae_sp;sh__SH0747794.10FU
3fedfa0b81476584f7cdc12dc410c9ee,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp;sh__SH0817385.10FU
51606059abb985204892e735941d0907,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Chaetothyriales_gen_Incertae_sedis;s__Chaetothyriales_sp
33ca5d3ee6a94ed2d6dbf7b3763acb74,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholomataceae_gen_Incertae_sedis;s__Tricholomataceae_sp;sh__SH0852460.10FU
a0f4412954d5a245741fc434db9334c3,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Trechisporales_fam_Incertae_sedis;g__Trechisporales_gen_Incertae_sedis;s__Trechisporales_sp;sh__SH0935991.10FU
c28a95dba3eefd90b5f7711397489c59,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis;s__Sordariomycetes_sp
d417e78ef6fec8235397fd6b435ae71e,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma
b632ccca61e962504bf4bf5d6e9a2d17,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_sp
2004411eb1d39ff5bbc4da9c9966c98c,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Dactylonectria;s__Dactylonectria_macrodidyma;sh__SH0736260.10FU
d0e72636b1ffefdcdccc9513dd141d58,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactifluus;s__Lactifluus_corrugis;sh__SH0852818.10FU
0eb33ad384b94fc61a90d6b404a35f02,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia
011109b71d18b946d873e4f41bf969d0,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactifluus;s__Lactifluus_piperatus;sh__SH0949796.10FU
a5054942a51bfd1403759deffb2ae1f8,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_harzianum
ad9686b69734ac82dc912a026ad9c672,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp
